sample_id,HAVCR2,LAG3,PDCD1,TIGIT
TCGA-AA-A01V-01,58.2057,79.4613,193.0768,29.8369
TCGA-AA-A01X-01,45.7944,21.9626,50.0,10.2804
TCGA-AA-A01Z-01,27.4678,15.4506,1.2876,5.5794
TCGA-AA-A022-01,489.5062,851.7213,184.6457,207.5762
TCGA-AA-A024-01,30.0213,29.1871,44.288,15.5403
TCGA-AA-A029-01,44.6994,31.7674,10.5579,3.5162
TCGA-AA-A02E-01,56.8492,30.5347,129.9632,10.4322
TCGA-AA-A02F-01,52.1642,7.7781,3.8445,6.6728
TCGA-AA-A02H-01,77.2231,10.1679,10.0476,9.4971
TCGA-AA-A02J-01,26.7655,10.4297,7.9329,3.7145
TCGA-AA-A02O-01,49.444,38.6903,34.2219,17.6266
TCGA-AA-A02R-01,624.5403,549.1408,210.8656,127.1772
TCGA-AA-A02W-01,58.3796,30.222,11.7134,19.5036
TCGA-AA-A02Y-01,60.0601,114.543,59.6311,54.9121
TCGA-AA-A03F-01,48.3272,75.6538,29.1708,10.3791
TCGA-AA-A03J-01,140.838,192.3525,68.1901,41.9149
TCGA-AD-5900-01,300.83,117.739,34.2324,93.8797
TCGA-AD-6548-01,311.715,71.0857,57.1954,101.317
TCGA-AD-6888-01,14.482,15.2247,9.2833,5.1987
TCGA-AD-6889-01,73.2207,33.2821,23.0415,30.722
TCGA-AD-6890-01,86.2884,69.1489,40.1891,52.6005
TCGA-AD-6895-01,199.775,162.937,92.0948,90.2057
TCGA-AD-6899-01,341.16,143.01,67.9473,99.2529
TCGA-AD-6901-01,275.565,114.863,37.9363,52.1624
TCGA-AD-6963-01,64.9351,97.9291,64.5841,62.8291
TCGA-AD-6964-01,704.657,373.173,199.698,168.768
TCGA-AD-6965-01,77.9959,19.1116,33.5744,28.4091
TCGA-AD-A5EJ-01,92.5926,58.9669,21.4425,31.6764
TCGA-AD-A5EK-01,59.0038,17.2414,13.0268,13.41
TCGA-AF-2687-01,498.936,102.597,37.037,94.0826
TCGA-AF-2690-01,705.774,137.915,88.3952,215.203
TCGA-AF-2691-01,255.7294,63.1198,62.3464,53.5949
TCGA-AF-2692-01,96.4855,62.4638,10.4238,30.782
TCGA-AF-2693-01,147.138,33.3225,15.1466,34.6208
TCGA-AF-3400-01,892.3901,53.134,27.5991,38.72
TCGA-AF-3911-01,127.921,36.7855,11.2676,33.1401
TCGA-AF-4110-01,190.238,70.767,45.7904,69.1019
TCGA-AF-5654-01,29.3798,19.0424,8.161,8.7051
TCGA-AF-6136-01,38.3166,38.3166,11.9347,21.9849
TCGA-AF-6655-01,123.939,35.0877,23.2032,15.2801
TCGA-AF-6672-01,43.1433,22.4121,26.3342,33.6182
TCGA-AF-A56K-01,211.903,38.3228,32.9125,94.6799
TCGA-AF-A56L-01,89.434,28.3019,17.7358,35.8491
TCGA-AF-A56N-01,84.1084,18.6009,21.0271,30.7319
TCGA-AG-3574-01,98.7376,35.2106,24.9611,8.4754
TCGA-AG-3575-01,482.9205,42.8879,47.9809,35.5331
TCGA-AG-3578-01,129.6588,43.0016,29.2523,20.6766
TCGA-AG-3580-01,106.8272,85.5461,41.3389,28.8874
TCGA-AG-3581-01,127.2579,44.8618,27.1706,11.6576
TCGA-AG-3582-01,160.6483,27.8329,15.4005,15.5909
TCGA-AG-3583-01,80.9419,58.5383,10.546,14.3597
TCGA-AG-3584-01,183.8476,92.0095,48.3507,34.1798
TCGA-AG-3586-01,130.9831,40.8025,15.132,21.2579
TCGA-AG-3587-01,115.7683,76.0615,19.0582,13.7174
