sample_id,stratum,tGJS,HK2,BCL2L1,TSPO,HK2_norm,BCL2L1_norm,TSPO_norm,CD8A,IFNG,CXCL10,GZMB,PRF1,HAVCR2,LAG3,PDCD1,TIGIT,CGAS,STING1,ENPP1,TREX1,CD274,immune_proxy,exhaustion_score,ee_ratio,acute_sting,chronic_sting,sting_ratio
TCGA-AG-3898-01,MSS_TP53mut,0.45337837837837835,662.468,6275.5616,4329.4216,0.008445945945945946,0.8665540540540541,0.6334459459459459,103.4879,4.0893,1336.6861,95.6143,89.7503,157.6654,36.0144,11.9779,25.4111,151.6372,347.2764,69.8606,197.4341,21.7101,-0.04658835430679471,-0.3366420472211934,0.04596941523595066,0.22701097989216415,-0.18630158481540096,0.4133125647075651
TCGA-AG-3901-01,MSS_TP53wt,0.5398648648648648,3454.0417,2701.1405,4552.7669,0.6706081081081081,0.19932432432432431,0.706081081081081,89.265,3.7223,1087.883,113.6318,115.141,456.9746,76.5852,36.5728,38.9284,113.3752,1481.2252,81.3874,257.0259,46.5859,-0.09842382957986143,0.37672570090788465,-0.6398737397335558,0.23692279828898966,0.6162930563840702,-0.3793702580950805
TCGA-AG-3902-01,MSS_TP53mut,0.5699324324324324,2529.27,4480.47,4641.42,0.42905405405405406,0.6097972972972973,0.7179054054054054,480.594,27.2034,925.888,299.561,705.67,270.091,235.763,103.632,156.744,215.684,910.343,66.7131,306.757,84.201,1.1647576266856323,1.2173591744791363,-0.04910375289454394,0.7982275842372859,0.46980727248570364,0.32842031175158226
TCGA-AG-3909-01,MSS_TP53mut,0.7195945945945945,2905.033,6396.5616,5346.683,0.5422297297297297,0.8783783783783784,0.7972972972972973,73.1583,1.2446,92.2176,39.8296,64.4121,99.4284,26.7613,17.3784,9.8751,28.378,573.4255,170.5963,357.7135,4.5593,-0.4425730124291446,-0.48153981955014874,0.02447440773651216,-0.3894960985893807,-0.33558545335259987,-0.05391064523678085
TCGA-AG-3999-01,MSS_TP53wt,0.4858108108108108,880.4593,5101.4321,5902.8973,0.018581081081081082,0.7297297297297297,0.8648648648648649,17.3101,-0.2946,59.8234,127.3899,230.9885,78.9537,16.9944,10.5428,4.2812,30.7706,542.8243,13.8894,170.39,4.1449,-0.4049563901386259,-0.5886837399180722,0.3099787920901154,-0.6013132875641773,-0.21605660422873957,-0.3852566833354378
TCGA-AG-4001-01,MSS_TP53mut,0.45810810810810804,1985.8369,6068.0345,3184.6585,0.2483108108108108,0.8429054054054054,0.3530405405405405,57.1283,0.3656,563.0864,341.2831,93.9396,247.7889,55.3937,30.6867,38.2149,206.5327,579.0717,365.7045,378.1683,23.036,-0.1868961245424412,-0.015524551174475362,-0.15080395672584124,-0.18748522476867555,0.008293202025944066,-0.1957784267946196
TCGA-AG-4005-01,MSS_TP53wt,0.5339527027027027,1607.2657,5499.4717,5504.6269,0.13006756756756757,0.7888513513513513,0.8175675675675675,39.1765,-0.2946,96.7509,19.9012,147.4533,106.2367,36.3145,20.5654,17.7819,118.08,1050.713,26.0011,254.1391,7.7085,-0.4782144244301404,-0.4041490681587607,-0.05045198121142064,-0.5659162419866749,-0.20436264428878115,-0.36155359769789375
TCGA-AG-4007-01,MSS_TP53wt,0.5841216216216216,2009.805,5001.1571,6716.7094,0.25675675675675674,0.7010135135135135,0.9037162162162162,208.4063,1.366,212.0644,70.9015,139.2012,172.3935,108.3422,61.3615,22.8911,117.9508,608.6586,136.5177,451.5779,12.737,-0.20704934869697564,0.056519657112761024,-0.4156900883234506,-0.1213614368635722,-0.03258462895842579,-0.08877680790514642
TCGA-AG-4008-01,MSS_TP53mut,0.4241554054054054,1390.4557,5334.5556,3892.511,0.08108108108108109,0.7652027027027027,0.5405405405405406,67.4127,4.258,455.3354,175.1238,258.729,211.5072,30.0586,38.0419,19.2977,116.8891,975.1424,89.6117,250.631,16.1901,-0.13654690873483438,-0.16144573263411693,0.09765955000031602,-0.24652563052676912,0.0728298630055372,-0.3193554935323063
TCGA-AG-4015-01,MSS_TP53mut,0.558277027027027,2127.0587,7201.2451,3929.2462,0.28209459459459457,0.9341216216216216,0.5506756756756757,78.9842,2.3812,216.7861,34.0827,66.5681,97.4315,49.5556,32.3666,22.9486,91.3084,388.1029,154.8338,318.9905,8.7471,-0.3903689985895766,-0.31241706027398786,-0.11225813966816295,-0.3630592618953964,-0.300757020190666,-0.062302241704730366
